Grade,Medium,Subject,DOMAIN,Question No,Answered,Wrong Answered,Un Answered,Answered %,Wrong Answered %,Un Answered %
Grade-VI,Tamil,Tamil,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q27,29,4,0,0.0293,0.004,0
Grade-VI,Tamil,Tamil,Identifies the characters of the story,Q28,28,5,0,0.0283,0.0051,0
Grade-VI,Tamil,Tamil,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q29,21,12,0,0.0212,0.0121,0
Grade-VI,Tamil,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q30,30,3,0,0.0303,0.003,0
Grade-VI,Tamil,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q1,7,27,0,0.0071,0.0273,0
Grade-VI,Tamil,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q2,14,20,0,0.0141,0.0202,0
Grade-VI,Tamil,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q3,7,25,2,0.0071,0.0253,0.002
Grade-VI,Tamil,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q4,4,30,0,0.004,0.0303,0
Grade-VI,Tamil,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q5,13,21,0,0.0131,0.0212,0
Grade-VI,Tamil,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q6,6,28,0,0.0061,0.0283,0
Grade-VI,Tamil,English,Applies the correct grammar rules for verb and adverbs,Q7,11,23,0,0.0111,0.0232,0
Grade-VI,Tamil,English,Applies the correct grammar rules for nouns and pronouns,Q8,14,19,0,0.0141,0.0192,0
Grade-VI,Tamil,English,Applies the correct grammar rules for adjectives,Q9,6,28,0,0.0061,0.0283,0
Grade-VI,Tamil,English,Applies the correct grammar rules for adjectives,Q10,11,23,0,0.0111,0.0232,0
Grade-VI,Tamil,English,Applies the correct grammar rules for adjectives,Q11,7,27,0,0.0071,0.0273,0
Grade-VI,Tamil,English,Applies the correct grammar rules for verb and adverbs,Q12,10,24,0,0.0101,0.0242,0
Grade-VI,Tamil,English,Applies the correct grammar rules for conjunctions,Q13,10,24,0,0.0101,0.0242,0
Grade-VI,Tamil,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q14,19,15,0,0.0192,0.0152,0
Grade-VI,Tamil,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q15,12,22,0,0.0121,0.0222,0
Grade-VI,Tamil,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q16,14,18,2,0.0141,0.0182,0.002
Grade-VI,Tamil,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q17,9,23,2,0.0091,0.0232,0.002
Grade-VI,Tamil,English,Applies the correct grammar rules for preposition,Q18,2,29,3,0.002,0.0293,0.003
Grade-VI,Tamil,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q19,6,26,2,0.0061,0.0263,0.002
Grade-VI,Tamil,English,Reads to seek information from tables,Q20,0,33,2,0,0.0333,0.002
Grade-VI,Tamil,English,Reads to seek information from tables,Q21,4,28,2,0.004,0.0283,0.002
Grade-VI,Tamil,English,Applies the correct grammar rules,Q22,8,24,2,0.0081,0.0242,0.002
Grade-VI,Tamil,English,Applies the correct grammar rules,Q23,10,24,0,0.0101,0.0242,0
Grade-VI,Tamil,English,Applies the correct grammar rules,Q24,12,22,0,0.0121,0.0222,0
Grade-VI,Tamil,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q25,6,28,0,0.0061,0.0283,0
Grade-VI,Tamil,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q26,11,23,0,0.0111,0.0232,0
Grade-VI,Tamil,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q27,7,27,0,0.0071,0.0273,0
Grade-VI,Tamil,English,Applies the correct grammar rules for prefix,Q28,5,29,0,0.0051,0.0293,0
Grade-VI,Tamil,English,Applies the correct grammar rules,Q29,8,26,0,0.0081,0.0263,0
Grade-VI,Tamil,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q30,2,23,9,0.002,0.0232,0.0091
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q3,15,19,0,0.025,0.031,0
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q4,17,17,0,0.028,0.028,0
Grade-VI,Tamil,Math,"Identify various 3D objects like sphere, cube, cuboid, cylinder, cone from the surroundings",Q5,27,7,0,0.044,0.011,0
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q6,5,29,0,0.008,0.047,0
Grade-VI,Tamil,Math,Find out the perimeter and area of rectangular objects from the surroundings,Q7,9,25,0,0.015,0.041,0
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q8,8,25,1,0.013,0.041,0.002
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q12,14,19,1,0.023,0.031,0.002
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q13,10,24,0,0.016,0.039,0
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q15,11,22,1,0.018,0.036,0.002
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q16,7,26,1,0.011,0.042,0.002
Grade-VI,Tamil,Math,"Identify various elements like sides angles vertices diagonals of triangles , quadrilateral",Q17,24,8,2,0.039,0.013,0.003
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q18,8,24,2,0.013,0.039,0.003
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q19,17,15,2,0.028,0.025,0.003
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q22,10,24,0,0.016,0.039,0
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q23,10,23,1,0.016,0.038,0.002
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q26,10,20,4,0.016,0.033,0.007
Grade-VI,Tamil,Math,"Identify various elements like sides angles vertices diagonals of triangles , quadrilateral",Q28,17,16,1,0.028,0.026,0.002
Grade-VI,Tamil,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q29,1,31,2,0.002,0.051,0.003
Grade-VI,Tamil,Science,identify materials and organisms on the basis of observable features,Q1,10,24,0,0.012,0.028,0
Grade-VI,Tamil,Science,apply learning of scientific concepts in day to day life,Q2,1,33,0,0.001,0.039,0
Grade-VI,Tamil,Science,apply learning of scientific concepts in day to day life,Q3,13,21,0,0.015,0.025,0
Grade-VI,Tamil,Science,relate processes and phenomena with causes,Q5,17,17,0,0.02,0.02,0
Grade-VI,Tamil,Science,classify materials and organisms based on properties or characteristics,Q6,17,17,0,0.02,0.02,0
Grade-VI,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q7,10,24,0,0.012,0.028,0
Grade-VI,Tamil,Science,relate processes and phenomena with causes,Q8,22,12,0,0.026,0.014,0
Grade-VI,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q11,13,21,0,0.015,0.025,0
Grade-VI,Tamil,Science,apply learning of scientific concepts in day to day life,Q12,9,24,1,0.011,0.028,0.001
Grade-VI,Tamil,Science,apply learning of scientific concepts in day to day life,Q13,5,28,1,0.006,0.033,0.001
Grade-VI,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q14,9,22,2,0.011,0.026,0.002
Grade-VI,Tamil,Science,apply learning of scientific concepts in day to day life,Q16,6,20,7,0.007,0.024,0.008
Grade-VI,Tamil,Science,identify materials and organisms on the basis of observable features,Q17,11,17,5,0.013,0.02,0.006
Grade-VI,Tamil,Science,identify materials and organisms on the basis of observable features,Q18,12,16,5,0.014,0.019,0.006
Grade-VI,Tamil,Science,classify materials and organisms based on properties or characteristics,Q19,7,21,6,0.008,0.025,0.007
Grade-VI,Tamil,Science,classify materials and organisms based on properties or characteristics,Q20,12,14,8,0.014,0.016,0.009
Grade-VI,Tamil,Science,identify materials and organisms on the basis of observable features,Q21,13,15,6,0.015,0.018,0.007
Grade-VI,Tamil,Science,identify materials and organisms on the basis of observable features,Q22,22,6,6,0.026,0.007,0.007
Grade-VI,Tamil,Science,apply learning of scientific concepts in day to day life,Q23,1,28,5,0.001,0.033,0.006
Grade-VI,Tamil,Science,relate processes and phenomena with causes,Q24,8,22,3,0.009,0.026,0.004
Grade-VI,Tamil,Science,identify materials and organisms on the basis of observable features,Q25,23,8,2,0.027,0.009,0.002
Grade-VI,Tamil,Science,classify materials and organisms based on properties or characteristics,Q26,18,12,3,0.021,0.014,0.004
Grade-VI,Tamil,Science,classify materials and organisms based on properties or characteristics,Q27,14,17,3,0.016,0.02,0.004
Grade-VI,Tamil,Science,apply learning of scientific concepts in day to day life,Q28,13,18,3,0.015,0.021,0.004
Grade-VI,Tamil,Science,identify materials and organisms on the basis of observable features,Q30,5,25,4,0.006,0.029,0.005
Grade-VI,English,Tamil,Applies the correct grammar rules for tense,Q1,6,5,1,0.0167,0.0139,0.0028
Grade-VI,English,Tamil,Applies the correct grammar rules for preposition,Q2,11,1,0,0.0306,0.0028,0
Grade-VI,English,Tamil,Applies the correct grammar rules for conjunction,Q3,8,4,0,0.0222,0.0111,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q4,7,5,0,0.0194,0.0139,0
Grade-VI,English,Tamil,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q5,10,2,0,0.0278,0.0056,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q6,4,8,0,0.0111,0.0222,0
Grade-VI,English,Tamil,Applies the correct grammar rules for conjunctions,Q7,4,8,0,0.0111,0.0222,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q8,1,11,0,0.0028,0.0306,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q9,7,5,0,0.0194,0.0139,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q10,10,2,0,0.0278,0.0056,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q11,5,7,0,0.0139,0.0194,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q12,3,9,0,0.0083,0.025,0
Grade-VI,English,Tamil,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q13,8,4,0,0.0222,0.0111,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q14,2,10,0,0.0056,0.0278,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q15,9,3,0,0.025,0.0083,0
Grade-VI,English,Tamil,Identifies the characters of the story,Q16,8,4,0,0.0222,0.0111,0
Grade-VI,English,Tamil,Applies the correct grammar rules,Q17,4,8,0,0.0111,0.0222,0
Grade-VI,English,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q18,2,10,0,0.0056,0.0278,0
Grade-VI,English,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q19,9,3,0,0.025,0.0083,0
Grade-VI,English,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q20,7,5,0,0.0194,0.0139,0
Grade-VI,English,Tamil,Identifies the characters of the story,Q21,5,7,0,0.0139,0.0194,0
Grade-VI,English,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q22,3,9,0,0.0083,0.025,0
Grade-VI,English,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q23,6,6,0,0.0167,0.0167,0
Grade-VI,English,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q24,6,6,0,0.0167,0.0167,0
Grade-VI,English,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q25,5,7,0,0.0139,0.0194,0
Grade-VI,English,Tamil,Identifies the characters of the story,Q26,5,7,0,0.0139,0.0194,0
Grade-VI,English,Tamil,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q27,6,6,0,0.0167,0.0167,0
Grade-VI,English,Tamil,Identifies the characters of the story,Q28,5,7,0,0.0139,0.0194,0
Grade-VI,English,Tamil,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q29,3,9,0,0.0083,0.025,0
Grade-VI,English,Tamil,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q30,5,7,0,0.0139,0.0194,0
Grade-VI,English,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q1,4,8,0,0.0111,0.0222,0
Grade-VI,English,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q2,7,5,0,0.0194,0.0139,0
Grade-VI,English,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q3,6,5,1,0.0167,0.0139,0.0028
Grade-VI,English,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q4,5,7,0,0.0139,0.0194,0
Grade-VI,English,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q5,5,7,0,0.0139,0.0194,0
Grade-VI,English,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q6,6,6,0,0.0167,0.0167,0
Grade-VI,English,English,Applies the correct grammar rules for verb and adverbs,Q7,3,9,0,0.0083,0.025,0
Grade-VI,English,English,Applies the correct grammar rules for nouns and pronouns,Q8,11,1,0,0.0306,0.0028,0
Grade-VI,English,English,Applies the correct grammar rules for adjectives,Q9,8,4,0,0.0222,0.0111,0
Grade-VI,English,English,Applies the correct grammar rules for adjectives,Q10,8,4,0,0.0222,0.0111,0
Grade-VI,English,English,Applies the correct grammar rules for adjectives,Q11,7,4,1,0.0194,0.0111,0.0028
Grade-VI,English,English,Applies the correct grammar rules for verb and adverbs,Q12,6,6,0,0.0167,0.0167,0
Grade-VI,English,English,Applies the correct grammar rules for conjunctions,Q13,7,5,0,0.0194,0.0139,0
Grade-VI,English,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q14,10,1,1,0.0278,0.0028,0.0028
Grade-VI,English,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q15,8,4,0,0.0222,0.0111,0
Grade-VI,English,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q16,6,6,0,0.0167,0.0167,0
Grade-VI,English,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q17,7,5,0,0.0194,0.0139,0
Grade-VI,English,English,Applies the correct grammar rules for preposition,Q18,2,10,0,0.0056,0.0278,0
Grade-VI,English,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q19,4,8,0,0.0111,0.0222,0
Grade-VI,English,English,Reads to seek information from tables,Q20,0,13,0,0,0.0361,0
Grade-VI,English,English,Reads to seek information from tables,Q21,9,3,0,0.025,0.0083,0
Grade-VI,English,English,Applies the correct grammar rules,Q22,0,13,0,0,0.0361,0
Grade-VI,English,English,Applies the correct grammar rules,Q23,4,8,0,0.0111,0.0222,0
Grade-VI,English,English,Applies the correct grammar rules,Q24,9,3,0,0.025,0.0083,0
Grade-VI,English,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q25,7,5,0,0.0194,0.0139,0
Grade-VI,English,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q26,7,5,0,0.0194,0.0139,0
Grade-VI,English,English,Discovers the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q27,5,7,0,0.0139,0.0194,0
Grade-VI,English,English,Applies the correct grammar rules for prefix,Q28,6,6,0,0.0167,0.0167,0
Grade-VI,English,English,Applies the correct grammar rules,Q29,2,10,0,0.0056,0.0278,0
Grade-VI,English,English,"Reads a variety of texts and identifies the main ideas, characters, sequence of ideas and events",Q30,2,10,0,0.0056,0.0278,0
Grade-VI,English,Science,identify materials and organisms on the basis of observable features,Q1,9,3,0,0.012,0.004,0
Grade-VI,English,Science,apply learning of scientific concepts in day to day life,Q2,3,9,0,0.004,0.012,0
Grade-VI,English,Science,apply learning of scientific concepts in day to day life,Q3,3,9,0,0.004,0.012,0
Grade-VI,English,Science,relate processes and phenomena with causes,Q5,4,8,0,0.005,0.011,0
Grade-VI,English,Science,classify materials and organisms based on properties or characteristics,Q6,7,5,0,0.009,0.007,0
Grade-VI,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q7,5,7,0,0.007,0.009,0
Grade-VI,English,Science,relate processes and phenomena with causes,Q8,8,4,0,0.011,0.005,0
Grade-VI,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q11,3,9,0,0.004,0.012,0
Grade-VI,English,Science,apply learning of scientific concepts in day to day life,Q12,2,10,0,0.003,0.013,0
Grade-VI,English,Science,apply learning of scientific concepts in day to day life,Q13,3,9,0,0.004,0.012,0
Grade-VI,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q14,4,8,0,0.005,0.011,0
Grade-VI,English,Science,apply learning of scientific concepts in day to day life,Q16,7,5,0,0.009,0.007,0
Grade-VI,English,Science,identify materials and organisms on the basis of observable features,Q17,4,8,0,0.005,0.011,0
Grade-VI,English,Science,identify materials and organisms on the basis of observable features,Q18,3,9,0,0.004,0.012,0
Grade-VI,English,Science,classify materials and organisms based on properties or characteristics,Q19,3,9,0,0.004,0.012,0
Grade-VI,English,Science,classify materials and organisms based on properties or characteristics,Q20,6,6,0,0.008,0.008,0
Grade-VI,English,Science,identify materials and organisms on the basis of observable features,Q21,2,10,0,0.003,0.013,0
Grade-VI,English,Science,identify materials and organisms on the basis of observable features,Q22,11,1,0,0.015,0.001,0
Grade-VI,English,Science,apply learning of scientific concepts in day to day life,Q23,0,12,0,0,0.016,0
Grade-VI,English,Science,relate processes and phenomena with causes,Q24,3,9,0,0.004,0.012,0
Grade-VI,English,Science,identify materials and organisms on the basis of observable features,Q25,3,9,0,0.004,0.012,0
Grade-VI,English,Science,classify materials and organisms based on properties or characteristics,Q26,7,5,0,0.009,0.007,0
Grade-VI,English,Science,classify materials and organisms based on properties or characteristics,Q27,6,6,0,0.008,0.008,0
Grade-VI,English,Science,apply learning of scientific concepts in day to day life,Q28,11,1,0,0.015,0.001,0
Grade-VI,English,Science,identify materials and organisms on the basis of observable features,Q30,6,6,0,0.008,0.008,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q3,8,4,0,0.037,0.019,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q4,7,4,0,0.032,0.019,0
Grade-VI,English,Math,"Identify various 3D objects like sphere, cube, cuboid, cylinder, cone from the surroundings",Q5,10,2,0,0.046,0.009,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q6,5,7,0,0.023,0.032,0
Grade-VI,English,Math,Find out the perimeter and area of rectangular objects from the surroundings,Q7,5,7,0,0.023,0.032,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q8,1,11,0,0.005,0.051,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q12,7,5,0,0.032,0.023,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q13,8,4,0,0.037,0.019,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q15,7,5,0,0.032,0.023,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q16,3,9,0,0.014,0.042,0
Grade-VI,English,Math,"Identify various elements like sides angles vertices diagonals of triangles , quadrilateral",Q17,10,2,0,0.046,0.009,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q18,3,8,0,0.014,0.037,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q19,8,4,0,0.037,0.019,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q22,6,6,0,0.028,0.028,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q23,3,9,0,0.014,0.042,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q26,2,10,0,0.009,0.046,0
Grade-VI,English,Math,"Identify various elements like sides angles vertices diagonals of triangles , quadrilateral",Q28,7,5,0,0.032,0.023,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q29,0,12,0,0,0.056,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Tense,Q1,31,8,0,0.026,0.007,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Tense,Q2,26,13,0,0.022,0.011,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q3,30,9,0,0.026,0.008,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Preposition,Q4,30,9,0,0.026,0.008,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q5,15,24,0,0.013,0.021,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Conjunctions,Q6,18,21,0,0.015,0.018,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q7,28,10,1,0.024,0.009,0.001
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q8,9,30,0,0.008,0.026,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q9,17,22,0,0.015,0.019,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q10,34,5,0,0.029,0.004,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Tense,Q11,36,3,0,0.031,0.003,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q12,38,1,0,0.032,0.001,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q13,24,15,0,0.021,0.013,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q14,31,7,1,0.026,0.006,0.001
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q15,19,20,0,0.016,0.017,0
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q16,21,18,0,0.018,0.015,0
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q17,13,25,1,0.011,0.021,0.001
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q18,15,23,1,0.013,0.02,0.001
Grade-VII,Tamil,Tamil,Discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q19,9,29,1,0.008,0.025,0.001
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q20,24,12,3,0.021,0.01,0.003
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q21,24,14,1,0.021,0.012,0.001
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q22,22,16,1,0.019,0.014,0.001
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q23,25,13,1,0.021,0.011,0.001
Grade-VII,Tamil,Tamil,Identify the main characters or the major plot from the text given,Q24,16,21,2,0.014,0.018,0.002
Grade-VII,Tamil,Tamil,Identify the main characters or the major plot from the text given,Q25,6,31,2,0.005,0.026,0.002
Grade-VII,Tamil,Tamil,Identify the main characters or the major plot from the text given,Q26,30,7,2,0.026,0.006,0.002
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q27,35,2,2,0.03,0.002,0.002
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q28,35,2,2,0.03,0.002,0.002
Grade-VII,Tamil,Tamil,Discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q29,27,10,2,0.023,0.009,0.002
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q30,17,20,2,0.015,0.017,0.002
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q1,17,22,0,0.015,0.019,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q2,16,23,0,0.014,0.02,0
